FBID	SYMBOL	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs	logFC_RNAiVsCs	logCPM_RNAiVsCs	LR_RNAiVsCs	PValue_RNAiVsCs
FBgn0000015	Abd-B	-2.72565275976646	2.14278752206233	29.712911542419	5.01000183581241e-08	-1.82296514692668	2.14278752206233	15.2413232098587	9.46104095995549e-05	2.39276338754086	2.14278752206233	31.2475152897094	2.27138013910096e-08
FBgn0000064	Ald1	0.436565075385291	7.59032231005908	4.40455315001731	0.0358431138535053	-0.31778144312343	7.59032231005908	2.32793884830284	0.127070031895156	0.0857237582681625	7.59032231005908	0.170243099205155	0.679895848063722
FBgn0000140	asp	1.21322554353037	3.9141363665398	5.5321700352386	0.0186699361025624	1.24773334613904	3.9141363665398	5.84532070946554	0.0156185271153197	1.10388221668141	3.9141363665398	4.59554235364945	0.0320551993870482
FBgn0000244	by	0.832323514073589	5.64491784799845	10.6754923295725	0.00108564289521397	-1.0645986066822	5.64491784799845	16.9413863694919	3.85518443598145e-05	-0.6835625706855	5.64491784799845	7.14249428294376	0.00752783818877999
FBgn0000299	Col4a1	10.3334211830946	1.17938069124964	47.4777107982135	5.56329256331722e-12	5.21064468799749	1.17938069124964	10.656587107342	0.00109679588027108	4.2029200011424	1.17938069124964	6.48128910028779	0.0109015891453431
FBgn0000395	cv-2	2.59294049646132	5.98916687332906	140.62150087809	1.94673995136497e-32	0.936264985119086	5.98916687332906	19.735126532116	8.89512644434436e-06	0.819393054267984	5.98916687332906	15.1999934590194	9.67037555876192e-05
FBgn0000404	CycA	0.852084753202045	4.39074093892822	4.0066439209894	0.0453212798657304	0.789872942708433	4.39074093892822	3.4495329629645	0.0632696453366655	0.573629593990976	4.39074093892822	1.82343057409104	0.176905468199392
FBgn0000405	CycB	1.12929413658719	3.60371777644306	4.26865203381578	0.0388217153364811	0.52254836611148	3.60371777644306	0.927692638066208	0.335463210231224	0.447152646959941	3.60371777644306	0.678858447003124	0.409980091111277
FBgn0000412	D1	0.614428457509631	5.1869813034071	4.49054127758176	0.0340828846100576	0.123143398108974	5.1869813034071	0.180684185509291	0.670785920502951	0.646255052892262	5.1869813034071	4.96122030534295	0.0259219083043566
FBgn0000416	Sap-r	-0.406320490408852	7.51558233529695	3.8985072272786	0.0483290317440398	-0.0279328922079126	7.51558233529695	0.0184817455987698	0.891862718033634	-0.382776566435102	7.51558233529695	3.46007515971498	0.0628674572309997
FBgn0000490	dpp	4.91965017624928	0.859156550550447	15.5338684725615	8.10402149054733e-05	-0.676498942159222	0.859156550550447	0.332578869086642	0.564144487850133	-1.94853279549219	0.859156550550447	2.31364098351581	0.128243341016721
FBgn0000562	egl	-0.545732798343256	4.71370638176074	6.70484430737194	0.00961513258646805	-0.106149043392442	4.71370638176074	0.256033812394223	0.612858167178316	0.919898124704266	4.71370638176074	19.4767932878786	1.01829347424496e-05
FBgn0000579	Eno	0.508105067734208	7.09699582287207	5.61077031028119	0.0178504142609166	-0.492059868285903	7.09699582287207	5.22139013709319	0.0223107090451882	0.487228365442873	7.09699582287207	5.15959738871115	0.0231182558336323
FBgn0000635	Fas2	0.774874589953988	6.9084753226155	8.96118622737843	0.00275775774567071	-0.877081664289291	6.9084753226155	11.3718291609786	0.000745664093151304	-0.603420721725489	6.9084753226155	5.43260924782977	0.0197641275878636
FBgn0000636	Fas3	-2.75232167716159	2.72024928488095	16.6247772259262	4.55520370241584e-05	0.719518607807865	2.72024928488095	1.33230626970626	0.248395344113437	-0.214568803467702	2.72024928488095	0.118499325991152	0.730667825189449
FBgn0000810	fs(1)K10	2.65448609894546	5.09580992774475	108.433250649257	2.16003523408153e-25	1.52010753881843	5.09580992774475	37.6026926056765	8.67246819773747e-10	0.162179824100017	5.09580992774475	0.432083731770793	0.51096826019687
FBgn0000996	dup	0.717664368657856	3.06166372509312	4.0887783260413	0.0431688336441564	0.926797417954978	3.06166372509312	6.78084247932529	0.00921413898869509	0.544377741713371	3.06166372509312	2.34075280445359	0.12602863630588
FBgn0001077	ftz	-2.70010032802212	1.49065548484617	7.6022937253969	0.00582940939948063	-3.53199403196361	1.49065548484617	10.5474583780897	0.00116347967193661	5.34287273292042	1.49065548484617	65.7245484228456	5.18559256126645e-16
FBgn0001078	ftz-f1	0.429946357178528	5.72718193229554	4.07796461358889	0.0434459636000754	-0.189064165834671	5.72718193229554	0.782576332416188	0.376354362117056	0.077565106297683	5.72718193229554	0.132562156140349	0.715790159933055
FBgn0001086	fzy	1.39787225090196	2.04775359146103	5.05941847784154	0.0244924549682001	1.11010291032426	2.04775359146103	3.21939802552292	0.0727703866603932	1.42840269529358	2.04775359146103	5.2746724501136	0.0216378585933907
FBgn0001091	Gapdh1	0.770885184668361	5.37272840671194	5.93293275084788	0.0148604902708166	-0.518217891724064	5.37272840671194	2.65647928192341	0.103128776580502	-0.342640121233255	5.37272840671194	1.17479846964984	0.278417473385191
FBgn0001092	Gapdh2	0.552904153173237	6.78889120724906	3.91439696963709	0.04787418789492	-0.65765063110056	6.78889120724906	5.47890654829737	0.0192472952930098	0.60964898948279	6.78889120724906	4.75264111566091	0.0292533625629394
FBgn0001098	Gdh	-1.38685466832901	4.92152382413692	9.54383955447375	0.00200621625115268	1.76183647332766	4.92152382413692	15.4009869162942	8.69428737583796e-05	0.587779019815649	4.92152382413692	1.79592156051051	0.180206341387922
FBgn0001149	GstD1	1.23028701267398	6.25139415438189	25.3237147395859	4.84712642161367e-07	0.765405490098568	6.25139415438189	9.9340546938867	0.00162248736976123	0.865293105443083	6.25139415438189	12.6771242326227	0.000370156441515393
FBgn0001186	Hex-A	2.81271065877848	7.42418932444101	111.429490297952	4.76452850396478e-26	-0.694881614481606	7.42418932444101	7.58640062073334	0.00588102530531693	0.675090496310428	7.42418932444101	7.23272020093626	0.00715866569267832
FBgn0001218	Hsc70-3	0.757113091812806	7.80494867546944	12.0679254216855	0.000512967517008755	0.0785452382772401	7.80494867546944	0.131008385324364	0.717388793193891	0.658468880558174	7.80494867546944	9.14921372486175	0.00248824964777429
FBgn0001248	Idh	0.976090838154098	5.653706809304	16.4426770598923	5.01435052966849e-05	0.414678690346265	5.653706809304	2.9853204692368	0.0840226534544335	-0.456616970217228	5.653706809304	3.59497601679621	0.0579544648277173
FBgn0001258	Ldh	-1.71407263627374	3.47294494641061	6.80907515205464	0.00906957271475247	0.252928685866882	3.47294494641061	0.160753894603875	0.688463370889719	2.62142326385584	3.47294494641061	15.5905664053707	7.86459865881543e-05
FBgn0001297	kay	-0.742486155564256	8.73154573403722	12.0585536473638	0.000515552759000972	0.0428515893583743	8.73154573403722	0.0406325147622368	0.840248924927487	-0.564476006577801	8.73154573403722	7.00235869075517	0.00814023890005858
FBgn0002413	dco	0.504981158346105	5.78871417212312	5.03157439813234	0.0248892631903135	-0.107548127976149	5.78871417212312	0.227334415057335	0.633507402241463	0.315351034195155	5.78871417212312	1.96306104382819	0.161186323358855
FBgn0002466	sti	1.3959881992534	3.93290534336633	10.2591150248115	0.00136010909218527	1.43629079946672	3.93290534336633	10.8352405868174	0.000995863776386763	0.831375673922255	3.93290534336633	3.69577066068657	0.0545505764955625
FBgn0002522	lab	3.09762813627203	1.09530083909868	5.11347054650128	0.0237407839865066	1.87794398881428	1.09530083909868	2.05029858769442	0.152176342492987	0.296383840142403	1.09530083909868	0.0529597538063218	0.81799086031222
FBgn0002524	lace	-0.627618699139056	5.68013252996129	8.24248077954061	0.00409211644957245	0.195442904013259	5.68013252996129	0.808455951017635	0.368577143331139	-1.11672952829194	5.68013252996129	25.4789209675537	4.47242697300916e-07
FBgn0002542	lds	0.643333564251009	3.94375860141693	4.73200850027051	0.0296062928648313	0.300358400104482	3.94375860141693	1.0296185198605	0.310248283218784	0.772208403721856	3.94375860141693	6.80730149859276	0.00907858601347929
FBgn0002564	Lsp1gamma	5.12754497472898	0.900887716235581	15.39729253804	8.7113020078606e-05	2.48718817215893	0.900887716235581	4.3552720764074	0.0368945654526974	2.23916185714131	0.900887716235581	3.5158282313053	0.0607852682705945
FBgn0002567	Rab32	0.99984765541566	3.62090833351431	11.7082586927686	0.000622233190682038	0.0548735137057255	3.62090833351431	0.0349688420174807	0.851660964140888	-0.623546311810692	3.62090833351431	4.40532836574753	0.0358268268241676
FBgn0002571	Mal-A3	2.4164288351913	1.50323844208482	6.3043514680134	0.0120441966336377	0.368662252949063	1.50323844208482	0.156882092128807	0.692043473761667	0.0404476725128243	1.50323844208482	0.0019025120879661	0.965209066405488
FBgn0002622	RpS3	0.473783016497682	8.62515189140252	4.11378197265097	0.0425351438056529	-0.113745554534161	8.62515189140252	0.237766800300449	0.625823722322437	-0.0145273450882638	8.62515189140252	0.00388252856197369	0.950316013273438
FBgn0002707	mei-9	0.691363991804791	3.29623350589452	5.21356713064298	0.0224113078307606	0.427796709219153	3.29623350589452	1.97670184987762	0.159738291620688	0.275412424013101	3.29623350589452	0.823617935542109	0.364124485648627
FBgn0002736	mago	0.813849187132377	2.63366233423015	4.28342617043692	0.0384856970903147	-0.0681634698416539	2.63366233423015	0.0296915989377151	0.863191854833707	0.431543342979641	2.63366233423015	1.20262667484521	0.272797321977265
FBgn0002778	mnd	-0.922927724357801	3.06100532350126	5.95475522115032	0.0146776406701462	0.605561294338607	3.06100532350126	2.66895551871852	0.10232315529789	-0.366920506248615	3.06100532350126	0.967436768950661	0.325320274306594
FBgn0002868	MtnA	-1.83607513484056	2.59802020322953	12.7645354210165	0.000353253320137111	0.925093176816286	2.59802020322953	3.51474923837781	0.0608248607703081	-3.57781938082198	2.59802020322953	38.9481355436384	4.35215750568922e-10
FBgn0002872	mu2	0.835408922720885	3.33396329497637	9.05030852818627	0.00262650493255775	0.276075307867672	3.33396329497637	0.975166848668716	0.323394953437071	0.801716863880427	3.33396329497637	8.31795888681251	0.00392550057893973
FBgn0002873	mud	1.34297169233285	4.37507307759248	13.2312106142458	0.000275325927568808	1.32977091177067	4.37507307759248	12.9711518948272	0.000316327342916265	1.025635452789	4.37507307759248	7.79183950562349	0.00524827342040135
FBgn0002891	PolZ1	0.699751713375016	4.03812290876325	8.65639936538475	0.00325914681687336	0.424790837152229	4.03812290876325	3.13830119639016	0.0764734217771403	1.23205518649571	4.03812290876325	26.7157718134231	2.35689862589422e-07
FBgn0002905	PolQ	1.1200258370072	3.9948172685551	17.6045203810609	2.71941176364791e-05	0.557288445102157	3.9948172685551	4.32712307735904	0.0375095935780447	0.458141842811462	3.9948172685551	2.95207979815464	0.0857671162327728
FBgn0002945	nkd	-0.749693012545899	5.2247254892322	10.0877708797006	0.00149256552525151	-0.272860737664366	5.2247254892322	1.34941251559439	0.245380847872762	0.903257522114069	5.2247254892322	14.8617025133197	0.000115688067356524
FBgn0002948	nod	1.4890117084461	1.50389102198434	8.1966862717671	0.00419669699130539	0.722626988778527	1.50389102198434	1.93494906594985	0.164218007714615	1.03464071977101	1.50389102198434	3.95412487966129	0.0467566237662658
FBgn0002989	okr	1.41215666263225	2.35112618077811	12.805248779388	0.000345648249989497	0.501222444484353	2.35112618077811	1.60298445087421	0.205480782823908	0.97761227597939	2.35112618077811	6.14717124790569	0.0131622464005178
FBgn0003028	ovo	8.43431110341269	7.93014251980352	49.3401313011447	2.15214410308568e-12	7.81297631349931	7.93014251980352	44.5964128483787	2.42134884248168e-11	2.32703771697608	7.93014251980352	6.42310244860107	0.0112645203595169
FBgn0003068	per	-1.47828604710447	4.77849957176667	23.6729038610909	1.14178869103182e-06	0.175930566321519	4.77849957176667	0.354134495735979	0.551781971809545	0.142512186805444	4.77849957176667	0.233342693512471	0.629056272696681
FBgn0003071	Pfk	0.850835914262531	5.02865622952998	8.84994301631919	0.00293098041939615	-0.161273433406972	5.02865622952998	0.315783245670822	0.574152848438942	1.08986323484468	5.02865622952998	14.4280006770361	0.000145620936899508
FBgn0003090	pk	-2.6084182436147	4.73125900414709	63.0014784239399	2.06551486184682e-15	1.10013740839551	4.73125900414709	13.0077478487193	0.000310204802557946	-0.228682137146371	4.73125900414709	0.566587005533009	0.451618345807188
FBgn0003124	polo	0.884374633960576	3.74202381146681	3.95901815318808	0.0466208888297902	0.965617909846835	3.74202381146681	4.70589398776597	0.0300593644326749	0.676255012945772	3.74202381146681	2.3224293618605	0.127520729790785
FBgn0003159	CG2841	0.730794408914611	5.33710122545473	5.26671162807733	0.0217370372799783	-2.19586698004235	5.33710122545473	42.7754212542606	6.13987787533301e-11	-2.51721767752477	5.33710122545473	55.1828149465829	1.09824755621368e-13
FBgn0003218	rdgB	2.13863489309458	3.96941418112305	47.1364061376563	6.62142960965033e-12	-1.35765928743003	3.96941418112305	17.9931299004405	2.21703652361785e-05	-1.16529076975449	3.96941418112305	13.5867648644945	0.000227785857990573
FBgn0003268	rod	1.0729250836604	4.14237526815776	14.4606593960865	0.000143117597937257	1.53504675175748	4.14237526815776	29.1839996473293	6.58205164435526e-08	1.17040435892398	4.14237526815776	17.1572301205981	3.44097159826516e-05
FBgn0003285	rst	1.97511284451222	1.03453853288853	8.90113967496838	0.00284992726454757	-2.02116145896547	1.03453853288853	7.89224935240598	0.00496470825656612	-0.533337347427188	1.03453853288853	0.640872164138131	0.423395150282944
FBgn0003310	S	-0.715854898966995	6.05738388864202	5.06907888625573	0.0243563227093115	-0.178655883887444	6.05738388864202	0.319423334609084	0.571954405963445	-0.149952092592035	6.05738388864202	0.224930275289445	0.635308702914961
FBgn0003401	shu	1.47540562986358	1.62578280186714	11.9571699115578	0.000544374928737829	1.20518712355493	1.62578280186714	7.93957449940153	0.00483652057191236	1.1409117278661	1.62578280186714	7.0921916754702	0.0077420510622211
FBgn0003435	sm	1.01853989091504	4.32229513790815	8.73640761707823	0.00311918429847986	0.483740990444039	4.32229513790815	1.98655271550959	0.158701790454608	-0.407785012847438	4.32229513790815	1.39381359984227	0.237762128237626
FBgn0003448	sna	-6.2905499853327	2.02141404061027	14.1611499938915	0.000167799685962604	4.69227387424855	2.02141404061027	15.1634978495487	9.85909756595932e-05	2.28701297360813	2.02141404061027	4.3378449773371	0.0372740738872847
FBgn0003459	stwl	0.517713577396263	4.38426613767943	4.27923447764188	0.0385807206303365	0.123600960687	4.38426613767943	0.241591289776204	0.62305915650534	0.0639526623997813	4.38426613767943	0.0649416325518253	0.798849396719646
FBgn0003475	spir	0.51750093484654	5.64614087647219	6.49845463559419	0.0107968296435192	-0.409891586529151	5.64614087647219	4.00625260891401	0.0453318010435461	0.186797724279467	5.64614087647219	0.846311788411478	0.357597813129353
FBgn0003483	spn-E	2.80357730266271	2.84955318275392	50.4006000188994	1.25355890248007e-12	1.43566934861699	2.84955318275392	13.714286790995	0.000212829297002391	1.91036591098951	2.84955318275392	24.1740426594485	8.80105308158954e-07
FBgn0003525	stg	2.2619313092533	2.46210844199258	13.1796819588397	0.000283000781971965	-0.863610000616092	2.46210844199258	1.95291699857071	0.162272862834041	0.673625559801355	2.46210844199258	1.24033870041641	0.265405787980991
FBgn0003687	Tbp	0.775119866298048	2.32865905255024	5.33109291710807	0.0209482450894979	0.22765973817325	2.32865905255024	0.446207024144534	0.504141703500887	-0.215675500652826	2.32865905255024	0.397496234361812	0.528385146661526
FBgn0003714	tko	-0.724062274964448	2.62544537314153	4.22841475543244	0.0397525527491026	0.240836745591653	2.62544537314153	0.482140361454949	0.487454417087435	0.518971484458474	2.62544537314153	2.27800143106592	0.131220870411018
FBgn0003716	tkv	-0.484011158475702	6.28682245212635	4.50296885638178	0.0338360590494341	0.23003052440334	6.28682245212635	1.02414924556072	0.311536814256232	-0.0151463165703965	6.28682245212635	0.00443981049521369	0.9468747472671
FBgn0003731	Egfr	0.493727007935575	8.73944620362556	4.86902738676827	0.0273429070223992	-0.536023323754321	8.73944620362556	5.7232294237549	0.0167419097023069	-1.00086403874454	8.73944620362556	19.6759275710798	9.17499034170305e-06
FBgn0003935	snRNA:U5:34A	5.60453349581417	0.693804765512864	14.7558221197356	0.000122369084870363	3.02443440421009	0.693804765512864	5.09493604465276	0.0239957989599035	0.085923558830829	0.693804765512864	0.00427988473457219	0.947838941264726
FBgn0003938	snRNA:U5:63BC	2.91232144823065	5.17946500354742	5.51535948187467	0.0188501988881937	1.19325169291103	5.17946500354742	1.03871825925093	0.308119758351534	-0.956800936127928	5.17946500354742	0.673485164284132	0.411839152627037
FBgn0003996	w	1.28307822780311	9.36198778915514	19.801333748884	8.59226997317742e-06	0.263412465587898	9.36198778915514	0.859551279589297	0.353864293251351	0.21368771074568	9.36198778915514	0.566088591051368	0.451817405930822
FBgn0004055	uzip	1.12377307452687	3.90194518999067	10.6539219609214	0.00109837745654234	-1.16622921226505	3.90194518999067	10.625825192433	0.00111519193305633	1.91761717878313	3.90194518999067	30.0829280124424	4.13959451570809e-08
FBgn0004108	Nrt	-0.714886022966768	3.60337035421703	4.10210491659902	0.0428298597584765	0.0613452705968939	3.60337035421703	0.0308860926183652	0.860494755359584	-0.112917994326716	3.60337035421703	0.104195852296186	0.746851391190529
FBgn0004183	snRNA:U1:82Eb	2.31982575754808	1.52795978020538	8.69495971552854	0.00319091169783964	0.539572236899214	1.52795978020538	0.49582450491206	0.481340566640414	-0.444710192375046	1.52795978020538	0.330352546901413	0.565451569397202
FBgn0004191	snRNA:U2:34ABa	1.51897551530188	2.38897668410808	4.15200324449624	0.0415852985000658	0.524798436146739	2.38897668410808	0.506483964674899	0.476664894998908	0.00614039405633514	2.38897668410808	6.97153148419005e-05	0.99333808462151
FBgn0004227	nonA	0.530055483456305	4.77651068039536	4.82125009616081	0.0281109506211571	-0.105177705362087	4.77651068039536	0.188274059027299	0.664357001967385	0.241872275896905	4.77651068039536	1.00210220188962	0.316802370652197
FBgn0004359	T48	2.95482260131007	1.47313386026471	31.0322886357032	2.5377145905756e-08	0.727444182729244	1.47313386026471	1.82489736484492	0.176731434180627	1.10731369342507	1.47313386026471	4.42363983988004	0.0354443520564497
FBgn0004369	Ptp99A	-1.11755388121419	5.81441494880215	19.4342933014655	1.0412057751343e-05	-0.00845001907207551	5.81441494880215	0.00114494357275241	0.973007119267568	0.0870060095258751	5.81441494880215	0.121600280599353	0.727305295798701
FBgn0004370	Ptp10D	0.549250680439389	4.40460595147154	5.92730931059807	0.0149079878150039	-0.0236282498258811	4.40460595147154	0.0108315520802229	0.91711003435042	-0.53715824403358	4.40460595147154	5.50519261656016	0.0189600918555618
FBgn0004379	Klp67A	1.13193625779842	2.4180075998085	6.60101986970949	0.0101920371708634	0.69112961868842	2.4180075998085	2.46044518731834	0.116745689181697	1.09972794763276	2.4180075998085	6.24097068639168	0.0124828041317549
FBgn0004406	PolG1	0.818591408775022	3.17909486711804	6.04947710548934	0.0139104157058514	0.455071062880225	3.17909486711804	1.85522759590741	0.17317661609138	0.561890590036273	3.17909486711804	2.84773427165789	0.091502808631609
FBgn0004419	me31B	0.61555841749565	4.7555303338174	5.70687251541377	0.0168986192391401	0.0526726689858201	4.7555303338174	0.0416863723626779	0.838218772074214	0.0976529605919155	4.7555303338174	0.14348649720354	0.704839272100303
FBgn0004507	Glyp	0.481701607014896	6.60416842401381	4.13485663004103	0.0420086257978019	-0.731553182771162	6.60416842401381	9.38866633816269	0.00218330976270266	-0.0260877901112299	6.60416842401381	0.0121496336939586	0.912230637106533
FBgn0004509	Fur1	-1.19522444630841	2.75089389483173	8.12846323419241	0.00435756663813958	0.915695742214801	2.75089389483173	5.05193790267255	0.0245984118475726	-0.120169909516902	2.75089389483173	0.0862369620090355	0.769016725391082
FBgn0004584	Rrp1	1.04004629382495	3.97372340746552	8.49427916546307	0.00356264895425621	0.962747837104666	3.97372340746552	7.29021121114608	0.00693313246332999	0.408505425906968	3.97372340746552	1.31932531123928	0.25071317211354
FBgn0004597	CycC	0.786511790092104	2.34900051006745	4.10134878048526	0.0428490176634588	0.624140584962734	2.34900051006745	2.53606910418907	0.111271497007647	0.452012641674382	2.34900051006745	1.34375117908332	0.24637352205228
