FBID	SYMBOL	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RNAiVsCs	logCPM_RNAiVsCs	LR_RNAiVsCs	PValue_RNAiVsCs
FBgn0000008	a	3.10197500338129	3.84876272507709	43.2301876585281	4.86640441067369e-11	-0.214588701505273	3.84876272507709	0.255425891773369	0.61328018936825
FBgn0000024	Ace	-1.12438529393178	4.96222668205911	15.3359511617981	8.99875993913713e-05	0.0701183987080994	4.96222668205911	0.0586861163680865	0.8085847688383
FBgn0000042	Act5C	0.707379561406822	11.7916390949497	5.34612610067643	0.0207683645687188	-0.0289730422054878	11.7916390949497	0.00936078121026185	0.922924034166645
FBgn0000043	Act42A	1.77381725514253	8.08137053717903	28.5749521166857	9.01407064583915e-08	-0.225072210900802	8.08137053717903	0.528368144309809	0.467293734562176
FBgn0000053	Gart	0.954243806551867	4.10124731732824	9.26973178480282	0.00232971816788931	0.629658836581998	4.10124731732824	4.12461375161624	0.0422636674816335
FBgn0000078	Amy-d	-2.93577209003452	7.83912088296835	29.0955008543748	6.8896798265951e-08	1.65655626246368	7.83912088296835	8.47277277366788	0.00360501499089333
FBgn0000083	AnxB9	1.40520696923731	6.77333305293596	13.4230552616109	0.000248550555023828	0.171003945307504	6.77333305293596	0.216802521116108	0.6414871119718
FBgn0000084	AnxB10	2.01953014328084	1.88410062171581	13.0517941316896	0.000302994020039082	-0.197354133867291	1.88410062171581	0.136921588827047	0.711360753856298
FBgn0000119	arr	-0.581985120698358	6.48382434745037	7.65309426203081	0.0056675028686587	-0.0810917790394564	6.48382434745037	0.146853860101515	0.701560237196254
FBgn0000152	Axs	1.15743006200426	2.21321088894178	8.00099770608514	0.00467515825702162	1.06790586583461	2.21321088894178	6.89517473081674	0.00864287148232346
FBgn0000163	baz	1.0572892675857	7.18341571216744	16.6956366193656	4.38818118679652e-05	0.380031925678889	7.18341571216744	2.25921897238686	0.132821032786513
FBgn0000180	bib	2.70182232511413	0.802518545777681	10.8565317477631	0.000984478984083559	0.206204037638416	0.802518545777681	0.0711098830038219	0.789727594047809
FBgn0000250	cact	-0.496453567505837	6.39552861241643	5.71055957708167	0.0168631632670884	-0.0692824203075015	6.39552861241643	0.110083764427419	0.740048791357994
FBgn0000261	Cat	-0.617595853228175	8.07640240222945	7.27640305698219	0.00698662983921337	-0.194462397901546	8.07640240222945	0.713052472626259	0.398432323659837
FBgn0000330	cm	0.638019441761246	3.46103227770691	4.1947982967834	0.0405481766092943	0.606093952649092	3.46103227770691	3.81577847593643	0.0507720066419997
FBgn0000395	cv-2	1.89098180587819	5.80597986785028	19.7139672670347	8.99415910235002e-06	-0.814511529014645	5.80597986785028	4.28048365046427	0.0385523768167591
FBgn0000463	Delta	2.05124540520784	3.18452605780588	26.9902302001337	2.04486414399981e-07	0.481623576568123	3.18452605780588	1.63264285190002	0.20133789436788
FBgn0000479	dnc	-0.43930452047571	8.71513230238252	4.03838268706107	0.0444764264546353	-0.172595954961421	8.71513230238252	0.618084260965986	0.431760078622627
FBgn0000578	ena	1.18541982815303	6.43858563547872	17.5856936692574	2.74646762971829e-05	-0.0646877245296346	6.43858563547872	0.0565490897195815	0.812035811410169
FBgn0000635	Fas2	0.53809113809141	7.61126786402558	5.2494886010612	0.0219532220965641	0.205230792962796	7.61126786402558	0.778779655679404	0.37751462446518
FBgn0000719	fog	0.837588410505648	6.10974642077202	6.06646891157311	0.0137772121981262	-0.347551307407624	6.10974642077202	1.11084207902484	0.291898972493873
FBgn0000721	for	-0.572561378175746	8.08120290952685	6.30569887511083	0.0120350460946574	-0.209354035970964	8.08120290952685	0.834535798990245	0.360964226010081
