	nom_gene	logFC_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	PValue_RepVsCs	logFC_RNAiVsCs	PValue_RNAiVsCs	logFC_ActVsRep	PValue_ActVsRep	logFC_ActVsRNAi	PValue_ActVsRNAi
FBgn0000008	a	1.84775937017672	8.11229207461216e-12	1.64345517072248	1.14428419038604e-09	-2.79555750827263	2.27299075735528e-19	0.204304199454238	0.432348035315874	4.64331687844935	2.38713696181206e-47
FBgn0000244	by	0.727976553797849	2.80735482964478e-07	-1.1797643416354	1.60425042991827e-15	-0.371895869345947	0.00923032418314608	1.90774089543325	2.89023397720951e-37	1.0998724231438	1.72416825870263e-14
FBgn0000395	cv-2	2.69114762745409	6.57767638383605e-77	0.840838008502973	1.62628344823437e-09	0.225390028960087	0.104987290687258	1.85030961895111	1.37635264928935e-39	2.465757598494	5.21953530806704e-66
FBgn0000405	CycB	1.10128622787313	8.37914829298061e-07	-0.473497820394748	0.0427497472562229	-0.202902417207574	0.37343274710722	1.57478404826787	1.23323681546102e-11	1.3041886450807	8.26249531271431e-09
FBgn0000635	Fas2	0.801413416177363	2.40761986384579e-09	-0.731595876685547	7.00725013467255e-08	-0.681364822828288	4.53227263858081e-07	1.53300929286291	7.1349874537176e-29	1.48277823900565	2.22409299327344e-27
FBgn0000810	fs(1)K10	2.37649689819555	1.04942440952263e-41	1.35537956137117	4.29266718172972e-15	0.101926522961208	0.556241305691218	1.02111733682438	1.1305060805357e-09	2.27457037523435	1.6080754363685e-38
FBgn0000996	dup	1.69266814700546	9.16367507591381e-09	-0.644968277742373	0.0421976694848506	-0.486192178557882	0.11378094998879	2.33763642474783	8.89733248500183e-14	2.17886032556334	7.92487721914342e-13
FBgn0001077	ftz	3.07747293074307	0.00356536462747451	2.39628481043588	0.0440337035607456	8.42727190958057	5.98631649850429e-31	0.681188120307189	0.411254895693117	-5.3497989788375	3.89755328544514e-22
FBgn0001149	GstD1	0.893231517746934	2.44384814547909e-11	0.284544797024327	0.0344527689750287	0.534225210362547	6.38296142476626e-05	0.608686720722608	5.43208415949828e-06	0.359006307384387	0.00671992500102892
FBgn0001186	Hex-A	2.10909004072541	4.0535248659786e-36	-0.489996364297537	0.00284139395821065	0.24086351553368	0.138425981214426	2.59908640502295	1.5447067122061e-51	1.86822652519173	3.77810569372874e-29
FBgn0001197	His2Av	0.611234176526563	0.000164368685363132	-0.222999770055737	0.178099249610894	0.495364736364748	0.0022585801625981	0.8342339465823	4.46026177391915e-07	0.115869440161815	0.471427207387929
FBgn0001218	Hsc70-3	0.770272650338738	7.24088316732416e-08	-0.0537255277445739	0.707050862418511	0.210627005941768	0.139473501880258	0.823998178083311	9.51783049836505e-09	0.559645644396969	8.71665922324533e-05
