FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
128up	-0.920178559885971	5.02730542185966	11.892496920024	0.000563605167422945	-0.309796249896962	5.02730542185966	1.38151317791771	0.239843566196434
14-3-3epsilon	0.357495632261448	11.1749290451469	2.08035792182682	0.149205186408634	0.306752630056882	11.1749290451469	1.53265552672298	0.215714334655711
14-3-3zeta	0.385718509359439	9.67957133279879	2.0005891092419	0.157238084637977	0.261946908645954	9.67957133279879	0.923983137492655	0.336431299275775
140up	-0.528524150937742	4.2731594054125	3.46176089495933	0.0628033989914963	-0.527458570178424	4.2731594054125	3.43698439040086	0.0637519558756306
18w	-2.1773328636786	3.56885350450698	43.0918101093863	5.22304347135374e-11	-2.1614203398828	3.56885350450698	42.2862257886238	7.88459229753855e-11
26-29-p	0.254443206853102	7.13162592692068	0.879636502215362	0.348301257837298	0.149281843333913	7.13162592692068	0.302772753452283	0.582149352361054
312	-0.89224267479208	2.74843822182927	5.42381893408724	0.0198638665302446	-0.781760976049796	2.74843822182927	4.17500401485661	0.0410244654416376
4E-T	-0.47993569121176	6.20453535377888	3.21323125356925	0.0730450971035822	-0.490778981571297	6.20453535377888	3.35592193913284	0.0669637042438965
4EHP	-0.0693803451416588	7.82328790284372	0.0607169010714887	0.805366416211183	0.021658544459433	7.82328790284372	0.0059173047036154	0.938683989735471
5-HT2A	1.15503433095773	0.924743563142182	2.47677867809278	0.115538672773113	0.169701676003968	0.924743563142182	0.051695666171117	0.820138526454572
5-HT2B	-0.419718505482715	1.11095839492243	0.503052853576174	0.47816178741154	-0.227696384186348	1.11095839492243	0.14921854245437	0.699283268356018
5-HT7	0.688887512396504	1.30211158557055	1.20769111471126	0.271789873258855	0.268335607243296	1.30211158557055	0.179685886200483	0.671643324026109
5PtaseI	-0.777670482173563	5.29609259260989	8.26970557836184	0.00403120430220486	-0.38627927839951	5.29609259260989	2.06772078179268	0.150446210944331
a	1.65237388764834	4.75149550754079	27.4430577838615	1.61788603127246e-07	0.119617089287917	4.75149550754079	0.145712935549447	0.702666365099139
A16	-0.927693977236942	5.02920523313124	8.353345341658	0.00384977881171441	-0.0788470609566424	5.02920523313124	0.0619930031954823	0.803373203047824
a6	-0.954628285601769	3.69147096194687	9.86349507429422	0.00168590524403889	-0.318750561932294	3.69147096194687	1.13981957238026	0.285690456005545
Aac11	0.117842447727062	7.45468190945101	0.174034837404861	0.676550535390552	0.0820168209701167	7.45468190945101	0.0842782849854302	0.771581211868569
Aatf	0.155576974813505	5.67262182671315	0.337515327221681	0.56126694529391	-0.0476525853955932	5.67262182671315	0.0315582884312633	0.859000582665635
aay	2.52250350965281	3.69146716797647	53.3830074253978	2.74460688477839e-13	0.238833271508442	3.69146716797647	0.4701151780621	0.492934186027729
